所得類別,給付總額,扣繳率,扣繳稅額,備註
薪資所得,,5%,,得依薪資所得扣繳辦法之扣繳稅額表計算，或按全月給付總額扣取5%
執行業務報酬,,10%,,會計師、律師、記帳士等執行業務所得
租金所得,,10%,,
利息所得,,10%,,軍公教退休金優惠存款利息免予扣繳
佣金所得,,10%,,
權利金所得,,10%,,
競技競賽及機會中獎獎金,,10%,,"政府舉辦之獎券中獎獎金每聯（組、注）獎額不超過5,000元者免予扣繳"
單次給付金額,,,,"單次給付金額未達新臺幣2,000元者，得免予扣繳（薪資所得除外）"
